"PrimaryKey","Annual_Forb","Annual_Forb_Exo","Annual_Forb_Exo_Inv","Annual_Forb_Exo_Inv_Nox","Annual_Graminoid","Annual_Graminoid_Exo","Annual_Graminoid_Exo_Inv","Annual_Graminoid_Exo_Inv_Nox","Annual_Graminoid_Nox","Annual_Sedge","Perennial_Forb","Perennial_Forb_Exo","Perennial_Forb_Exo_Inv","Perennial_Forb_Exo_Inv_Nox","Perennial_Graminoid","Perennial_Graminoid_Exo","Perennial_Graminoid_Exo_Inv","Perennial_Graminoid_Exo_Inv_Nox","Perennial_Shrub","Perennial_SubShrub","Perennial_Succulent","Perennial_Tree","Perennial_Tree_Exo_Inv_Nox","Nox","Inv","Exo","Nat","NatHerb","NatWoody","S","GapLg","TotalFoliar","Count","NatCount","max_height"
"16100310170018152016-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.66666666666667,1.66666666666667,0,0,0,0,0,18.3333333333333,0,18.3333333333333,68.6666666666667,85.8533333333333,18,9,9,26.5666666666667
"16100313165889972016-09-01",1,0,0,0,0,0,0,0,0,0,6.33333333333333,0,0,0,1,0,0,0,14,1.33333333333333,0,0,0,0,0,0,23.6666666666667,8.33333333333333,15.3333333333333,55.6666666666667,84.7333333333333,21.3333333333333,15,15,26.4333333333333
"1610040933567712016-09-01",2.66666666666667,0,0,0,7.33333333333333,0,0,0,0,0,1.66666666666667,0,0,0,28.3333333333333,0,0,0,0,2,0,0,0,0,0,0,42,40,2,48.3333333333333,44.7333333333333,39.3333333333333,31,29,19.2333333333333
"16100415221576082016-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,22,55.6666666666667,70.1733333333333,21.3333333333333,10,10,18.2333333333333
"16100510513021652016-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6666666666667,5.66666666666667,0,0,0,0,0,0,37.3333333333333,0,37.3333333333333,53.3333333333333,62.4666666666667,34,9,9,41
"16100515373142542016-09-01",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,11,1.33333333333333,0,0,0,0,0,31.3333333333333,1,30.3333333333333,45,64.0933333333333,31,12,12,40.7333333333333
"16100612215065372016-09-01",3.66666666666667,0,0,0,13.3333333333333,0,0,0,0,0,11,0,0,0,18.6666666666667,0,17.3333333333333,0,2,0,6.33333333333333,0,0,0,17.3333333333333,0,55,46.6666666666667,8.33333333333333,11.3333333333333,51.3733333333333,60,30,30,37.5666666666667
"16101209373242852016-09-01",0.666666666666667,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,16.3333333333333,0,0,0,45.6666666666667,0,0,0,0,0,0,0,64,18.3333333333333,45.6666666666667,10,52.0266666666667,50.6666666666667,20,20,40.2333333333333
"16101214200883052016-09-01",0.333333333333333,0,0,0,0.333333333333333,0,1.66666666666667,0,0,0,0.333333333333333,0,0,0,60.3333333333333,0,0,0,17.6666666666667,0,1,0,0,0,1.66666666666667,0,80,61.3333333333333,18.6666666666667,26,28.8,65.3333333333333,33,31,58.7666666666667
"16101308525035072016-09-01",2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3333333333333,0,0.666666666666667,0,0,0,0,0,40,7,33,9,55.96,51.6666666666667,36,36,48.5333333333333
"16101315290628462016-09-01",6.66666666666667,0,0.333333333333333,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,12,0.666666666666667,0,0,0,0,0.333333333333333,0,20.6666666666667,8,12.6666666666667,59.3333333333333,85,20,20,19,30.4666666666667
"16101316253652552016-09-01",0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,35.3333333333333,0,0,0,34.3333333333333,1.33333333333333,7,0,0,0,0,0,79.3333333333333,36.6666666666667,42.6666666666667,5.66666666666667,25.0666666666667,62.3333333333333,20,19,54.6333333333333
"16101710150739482016-09-01",11.3333333333333,0,0,0,9.66666666666667,0,0,0,0,0,11.3333333333333,0,0,0,3.33333333333333,0,0,0,1,2.66666666666667,0,0,0,0,0,0,39.3333333333333,35.6666666666667,3.66666666666667,35,63.8933333333333,35,37,37,23.4666666666667
"16101715173474852016-09-01",20.3333333333333,0,7.33333333333333,0,31.3333333333333,0,0,0,0,0,1.66666666666667,0,0,0,0.333333333333333,0,0,0,12.3333333333333,7.33333333333333,0,0,0,0,7.33333333333333,0,73.3333333333333,53.6666666666667,19.6666666666667,24.3333333333333,58.6,61.3333333333333,39,38,39.7333333333333
"16101810083750302016-09-01",0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,72,0,0,0,2,0,0,0,0,0,0,0,75.3333333333333,73.3333333333333,2,2,20.1333333333333,71,33,32,44.2666666666667
"16101909591228152016-09-01",13.6666666666667,0,0,0,17.6666666666667,0,0,0,0,0,4.33333333333333,0,0,0,8.33333333333333,0,0,0,13.3333333333333,7,0.333333333333333,0,0,0,0,0,64.6666666666667,44,20.6666666666667,22.6666666666667,58.0533333333333,53,32,32,38.2666666666667
"16101914152397652016-09-01",0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,7,0,0,0,23.6666666666667,0,0,0,0,0,0,0,31.3333333333333,7.66666666666667,23.6666666666667,67.6666666666667,77.04,24,32,32,26.5333333333333
"16102710331232972016-09-01",1.66666666666667,0,0,0,0,0,0,0,0,0,10.6666666666667,0,0,0,31.3333333333333,0,0,0,11,0.333333333333333,0,0,0,0,0,0,55,43.6666666666667,11.3333333333333,4.33333333333333,41.92,50.6666666666667,29,29,38.6
"16102712080361972016-09-01",5,0,0,0,2,0,0,0,0,0,5,0,0,0,0.333333333333333,0,0,0,17,0.333333333333333,0,0,0,0,0,0,29.6666666666667,12.3333333333333,17.3333333333333,10.3333333333333,80.8133333333333,25.3333333333333,35,35,29.1
"16102714453525922016-09-01",13.3333333333333,0,0,0,7.33333333333333,0,0,0,0,0,0.666666666666667,0,0,0,3.33333333333333,0,0,0,17.6666666666667,0,0,0,0,0,0,0,42.3333333333333,24.6666666666667,17.6666666666667,38.6666666666667,76.52,37.6666666666667,24,24,36.1333333333333
"16102716152679242016-09-01",6.33333333333333,0,0,0,7.33333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,3.66666666666667,0.666666666666667,0,0,0,0,0,0,18.3333333333333,14,4.33333333333333,49.6666666666667,95.4933333333333,17,26,26,8.63333333333333
"16102716461144672016-09-01",0.333333333333333,0,1.33333333333333,0,3.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,1.33333333333333,0,7.33333333333333,4,3.33333333333333,40.3333333333333,96.0933333333333,8.33333333333333,20,19,5.63333333333333
"16103116133681472016-09-01",4.33333333333333,0,0,0,0.333333333333333,0,0,0,0,0,5.33333333333333,0,0,0,43.3333333333333,0,0,0,0.333333333333333,8,0.666666666666667,0,0,0,0,0,62.3333333333333,53.3333333333333,9,19.6666666666667,58.08,52,20,19,41.9333333333333
"16110308174761592016-09-01",0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.33333333333333,0,0,0,20.3333333333333,0,0.666666666666667,0,0,0,0,0,26.3333333333333,5.33333333333333,21,14.6666666666667,80.5466666666667,23.6666666666667,21,21,21.9666666666667
"16110311203199692016-09-01",5,0,0,0,10.3333333333333,0,0,0,0,0,3,0,0,0,2,0,0,0,0,8.33333333333333,0,0,0,0,0,0,28.6666666666667,20.3333333333333,8.33333333333333,48,85.3866666666667,27.3333333333333,24,23,21
"16110816162981262016-09-01",1,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,0,7.66666666666667,0,0,0,10.6666666666667,0,1.33333333333333,0,0,0,0,0,24.3333333333333,12.3333333333333,12,62,79.5333333333333,21.3333333333333,31,31,20.0666666666667
"1611141556434902016-09-01",8,0,0,0,26.6666666666667,0,1.33333333333333,0,0,0,0.666666666666667,0,0,0,9,0,23,0,3,0.333333333333333,0,0,0,0,24.3333333333333,0,47.6666666666667,44.3333333333333,3.33333333333333,21.3333333333333,82.8933333333333,57.3333333333333,35,32,40.0333333333333
"16111616411999302016-09-01",1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.33333333333333,9.66666666666667,0,0,0,0,0,0,16.6666666666667,2.66666666666667,14,54.3333333333333,81.8533333333333,16,11,11,15.3
"16111616413783122016-09-01",0,0,0,0,0.333333333333333,0,0,0,0,0,4,0,0,0,5,0,0,0,4.33333333333333,0.666666666666667,0,0,0,0,0,0,14.3333333333333,9.33333333333333,5,7,87.52,14,24,24,9.73333333333333
"16111616421338472016-09-01",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,4.66666666666667,0,0,0,25.3333333333333,6.33333333333333,0,0,0,0,0,0,36.6666666666667,5,31.6666666666667,5.66666666666667,72.56,30.3333333333333,22,22,39.4333333333333
"16111616431594222016-09-01",0,0,0,0,0.333333333333333,0,0,0,0,0,6.33333333333333,0,0,0,34,0,0,0,24,1.33333333333333,5,0,0,0,0,0,71,40.6666666666667,30.3333333333333,2.33333333333333,36.3066666666667,58.3333333333333,39,39,55.8666666666667
"16111616433990922016-09-01",13.6666666666667,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5.33333333333333,2.33333333333333,1,0,0,0,1,0,24.3333333333333,15.6666666666667,8.66666666666667,52.3333333333333,67.8,23.6666666666667,20,19,21.2666666666667
"16112309202346402016-09-01",10,0,0.666666666666667,0,12.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2.33333333333333,0,0,0,0,0.666666666666667,0,44.6666666666667,22.3333333333333,22.3333333333333,29.6666666666667,84.0533333333333,40,24,23,36.9333333333333
"1611231027411542016-09-01",6,0,0,0,15,0,0,0,0,0,0.333333333333333,0,0,0,6.66666666666667,0,0,0,25,0,0,0,0,0,0,0,53,28,25,8.33333333333333,61.0533333333333,44,22,22,49.1666666666667
"16112311152389002016-09-01",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,10,3.66666666666667,0,0,0,0,0,0,16.3333333333333,2.66666666666667,13.6666666666667,62.6666666666667,87.2533333333333,16,20,20,21.3333333333333
"16112312420512502016-09-01",3.33333333333333,0,0,0,23.3333333333333,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,25.6666666666667,0,0,0,16,1,0.666666666666667,0,0,0,0.666666666666667,0,70.3333333333333,52.6666666666667,17.6666666666667,30,59.8933333333333,50.6666666666667,35,34,40.0333333333333
"16120114151030462016-09-01",0.333333333333333,0,0,0,2,0,0,0,0,0,2,0,0,0,60,0,0,0,8.66666666666667,0,13.3333333333333,12,0,0,0,0,98.3333333333333,64.3333333333333,34,3.33333333333333,21.6666666666667,80,43,43,77.1
"16120115331089512016-09-01",8,0,0.666666666666667,0,1.66666666666667,0,0,0,0,0,1,0,0,0,41.6666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,52.6666666666667,52.3333333333333,0.333333333333333,39,36.6,50.6666666666667,32,30,29.1333333333333
"16120116430894482016-09-01",5.66666666666667,0,1.66666666666667,0,9.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,0,0,1.66666666666667,0,26,15,11,52,83.2266666666667,25.3333333333333,24,23,34.5333333333333
"16120708322570042016-09-01",1.33333333333333,0,1.66666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1.66666666666667,0,8.66666666666667,1.66666666666667,7,59.3333333333333,86.2533333333333,10.3333333333333,22,21,5.26666666666667
"16120709191892382016-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6666666666667,0,0,0,0,0,0,0,10.6666666666667,0,10.6666666666667,52,90.3333333333333,10,22,21,22.7666666666667
"1708030847324132017-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,39.6666666666667,0,0,0,0,0,0,0,40.3333333333333,0.666666666666667,39.6666666666667,3.33333333333333,33.9866666666667,39,15,15,52.6774193548387
"17080811053859472017-09-01",0,0,0,0,0.333333333333333,0,0,0,0,0,1.66666666666667,0,0,0,4.66666666666667,0,0,0,20.6666666666667,1,0.666666666666667,0,0,0,0,0,29,6.66666666666667,22.3333333333333,14.6666666666667,66.4666666666667,25.3333333333333,29,29,25.53125
"17080816441181412017-09-01",3.66666666666667,0,0,0,4.33333333333333,0,0,0,0,0,5,0,0,0,1.66666666666667,0,0,0,3.33333333333333,12.6666666666667,0,0,0,0,0,0,30.6666666666667,14.6666666666667,16,49.6666666666667,36.2133333333333,28.3333333333333,26,26,27.5161290322581
"17080910262395282017-09-01",1.66666666666667,0,0,0,0.666666666666667,0,0,0,0,0,9,0,0,0,6.33333333333333,0,0,0,9.33333333333333,1.66666666666667,0,0,0,0,0,0,28.6666666666667,17.6666666666667,11,6,50.08,24.3333333333333,28,28,22.6666666666667
"17080914104578892017-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,22,52.6666666666667,69.24,21.6666666666667,6,6,39.6
"17081009553679232017-09-01",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,6.66666666666667,0,0,0,13,0.333333333333333,0,0,0,0,0,0,20.3333333333333,7,13.3333333333333,11.3333333333333,67.8133333333333,18.6666666666667,22,22,17.258064516129
"1708101559494342017-09-01",1.33333333333333,0,0,0,2,0,0,0,0,0,12,0,0,0,2,0,0,0,2.33333333333333,11.6666666666667,0,0,0,0,0,0,31.3333333333333,17.3333333333333,14,45.6666666666667,34.7866666666667,28.3333333333333,30,29,16.7666666666667
"17081409463175532017-09-01",0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.6666666666667,5.66666666666667,0,0,0,0,0,0,26.6666666666667,1.33333333333333,25.3333333333333,66.3333333333333,71.32,24.3333333333333,13,13,19.0833333333333
"17081415013076192017-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6666666666667,0,0,0,22.3333333333333,0,0,0,0,0,0,0,44,21.6666666666667,22.3333333333333,47.6666666666667,57.4,33,15,15,40.9
"17081511030918752017-09-01",0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,2,0,0,0,2.33333333333333,6.33333333333333,0,0,0,0,0,0,11.3333333333333,2.66666666666667,8.66666666666667,36.6666666666667,81.8,10,30,30,12.1379310344828
"17081715524538602017-09-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6666666666667,0,0,0,0,0,0,0,24.6666666666667,0,24.6666666666667,65.6666666666667,71.32,23.6666666666667,9,9,23.7333333333333
"1708210757216432017-09-01",8.66666666666667,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,0,1,0,0,0,21,2.33333333333333,0,0,0,0,0,0,36.6666666666667,13.3333333333333,23.3333333333333,31.6666666666667,58.7866666666667,33,21,21,36.8333333333333
"17082109172042017-09-01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3333333333333,0,0,0,0,0,0,0,33.3333333333333,1,32.3333333333333,41.3333333333333,57.0533333333333,32.6666666666667,13,13,55.0333333333333
"17082210074895312017-09-01",5,0,0,0,6,0,0,0,0,0,7.33333333333333,0,0,0,5.66666666666667,0,0,0,8,0,0,0,0,0,0,0,32,24,8,61,53.88,27.3333333333333,56,55,31.4666666666667
"17082211113693142017-09-01",0,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,0,2.33333333333333,0,0,0,12.6666666666667,5.33333333333333,0,0,0,0,0,0,24,6,18,4.33333333333333,59.48,21,22,22,27.2666666666667
"1708230801465162017-09-01",5.66666666666667,0,0,0,0,0,0,0,0,0,5.66666666666667,0,0,0,16.6666666666667,0,0,0,4,0,0,0,0,0,0,0,32,28,4,7,48.4266666666667,31.3333333333333,36,36,28.9354838709677
"17082310102561542017-09-01",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,45.6666666666667,0,0,0,2,0,0,0,0,0,0,0,48,46,2,42.6666666666667,24.6133333333333,47,24,24,23.5
"17082409330352362017-09-01",0.666666666666667,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,34.6666666666667,0,0,0,0,0,0,0,38.6666666666667,4,34.6666666666667,9,52.36,37,33,33,65.3333333333333
"17082410382822082017-09-01",1.33333333333333,0,0,0,0,0,0,0,0,0,2,0,0,0,20.6666666666667,0,0,0,10,21.3333333333333,1,0,0,0,0,0,56.3333333333333,24,32.3333333333333,6.33333333333333,13.9066666666667,47.6666666666667,31,31,19.9285714285714
"17082810325080612017-09-01",1,0,0,0,1.33333333333333,0,0,0,0,0,3.66666666666667,0,0,0,31.3333333333333,0,0,0,20.3333333333333,1,1.33333333333333,0,0,0,0,0,60,37.3333333333333,22.6666666666667,2.66666666666667,37.56,50.3333333333333,35,34,38.7333333333333
"17083109523692122017-09-01",11.3333333333333,0,0,0,15,0,0,0,0,0,5,0,0,0,8.33333333333333,0,0,0,0,10,0,0,0,0,0,0,49.6666666666667,39.6666666666667,10,19.3333333333333,28.3066666666667,41,47,46,14.5526315789474
"17083111250868632017-09-01",0.666666666666667,0,0,0,0,0,0,0,0,0,2.33333333333333,0,0,0,18.3333333333333,0,0,0,14.6666666666667,5.66666666666667,0,0,0,0,0,0,41.6666666666667,21.3333333333333,20.3333333333333,36,48.08,33,31,31,35.8064516129032
"17083113053717282017-09-01",8,0,0.666666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,30.6666666666667,0,0,0,0,0,0.666666666666667,0,40,9.33333333333333,30.6666666666667,48,49.5066666666667,32.3333333333333,19,17,145.8
"17090514401695752017-09-01",1.33333333333333,0,0,0,0,0,0,0,0,0,12,0,0,0,38.6666666666667,0,0,0,8.33333333333333,1.66666666666667,0.666666666666667,0.333333333333333,0,0,0,0,63,52,11,5.33333333333333,23.6933333333333,55.6666666666667,48,48,45.8666666666667
"17090615524756542017-09-01",0,0,1.66666666666667,0,0,0,0,0,0,0,2.33333333333333,0,0,0,5.66666666666667,0,0,0,0.666666666666667,9.66666666666667,0,0,0,0,1.66666666666667,0,18.3333333333333,8,10.3333333333333,57,60.8533333333333,19,31,30,16.0333333333333
